iter	Passed	Remaining
401	16247	24168
402	16287	24127
403	16326	24086
404	16367	24045
405	16410	24008
406	16450	23967
407	16490	23927
408	16527	23882
409	16565	23838
410	16607	23799
411	16645	23756
412	16689	23720
413	16728	23678
414	16767	23635
415	16807	23595
416	16845	23550
417	16886	23511
418	16928	23473
419	16968	23433
420	17007	23389
421	17045	23346
422	17082	23301
423	17120	23257
424	17165	23223
425	17204	23181
426	17241	23137
427	17279	23093
428	17319	23052
429	17363	23016
430	17404	22976
431	17443	22934
432	17482	22892
433	17521	22850
434	17561	22809
435	17603	22771
436	17643	22731
437	17684	22690
438	17722	22647
439	17763	22608
440	17801	22564
441	17841	22523
442	17886	22489
443	17924	22445
444	17965	22405
445	18002	22362
446	18041	22319
447	18084	22282
448	18125	22242
449	18167	22204
450	18207	22163
451	18247	22122
452	18286	22081
453	18327	22041
454	18372	22007
455	18411	21964
456	18450	21922
457	18490	21881
458	18532	21843
459	18572	21801
460	18611	21760
461	18649	21717
462	18690	21677
463	18727	21633
464	18767	21593
465	18808	21552
466	18848	21511
467	18887	21470
468	18926	21428
469	18965	21387
470	19007	21347
471	19048	21308
472	19089	21268
473	19128	21227
474	19167	21185
475	19206	21143
476	19247	21103
477	19290	21065
478	19329	21024
479	19369	20983
480	19410	20943
481	19448	20901
482	19489	20861
483	19530	20822
484	19568	20779
485	19608	20738
486	19646	20695
487	19685	20654
488	19726	20613
489	19769	20576
490	19810	20536
491	19847	20492
492	19886	20450
493	19924	20408
494	19966	20369
495	20007	20329
496	20048	20290
497	20088	20249
498	20127	20208
499	20166	20166
500	20209	20128
501	20248	20087
502	20290	20048
503	20329	20007
504	20368	19964
505	20408	19924
506	20450	19885
507	20496	19851
508	20534	19808
509	20571	19764
510	20614	19726
511	20654	19686
512	20696	19647
513	20736	19606
514	20774	19564
515	20817	19526
516	20854	19482
517	20896	19444
518	20937	19404
519	20974	19360
520	21013	19319
521	21052	19277
522	21092	19236
523	21131	19195
524	21172	19156
525	21213	19116
526	21252	19074
527	21290	19032
528	21329	18991
529	21369	18950
530	21411	18911
531	21452	18871
532	21491	18830
533	21529	18787
534	21568	18746
535	21609	18706
536	21651	18668
537	21692	18627
538	21732	18587
539	21768	18543
540	21810	18504
541	21852	18465
542	21894	18426
543	21932	18384
544	21971	18342
545	22010	18301
