iter	Logloss
0	0.649289856
1	0.610617747
2	0.5755797348
3	0.5446618525
4	0.5159491552
5	0.4904579468
6	0.4678771261
7	0.4475123749
8	0.4286945114
9	0.4123594437
10	0.3975002009
11	0.3836390279
12	0.3716821899
13	0.3606553879
14	0.3507371953
15	0.3413049952
16	0.3333551178
17	0.325431469
18	0.3189449425
19	0.3127675921
20	0.3071874835
21	0.3021954549
22	0.2973338127
23	0.293196242
24	0.2893130989
25	0.2852368927
26	0.2818964945
27	0.2787351519
28	0.2759392675
29	0.2735059942
30	0.271366492
31	0.2692661196
32	0.267054395
33	0.2651490733
34	0.2637380498
35	0.2619564934
36	0.2605497119
37	0.2592063192
38	0.2576573283
39	0.2562822444
40	0.2551583875
41	0.2538248685
42	0.2527174288
43	0.2515167402
44	0.2507230301
45	0.2497399839
46	0.2487528572
47	0.2478272298
48	0.2471267026
49	0.2462038193
50	0.2456031914
51	0.2448039462
52	0.2441114044
53	0.2434886983
54	0.2428754018
55	0.2423251559
56	0.2417556585
57	0.2413351517
58	0.2406076113
59	0.2400023664
60	0.239453186
61	0.2388489342
62	0.2382811445
63	0.2378038775
64	0.2374177221
65	0.2368748309
66	0.2363151449
67	0.2356794217
68	0.2353551928
69	0.234979201
70	0.2345433668
71	0.2342546107
72	0.233913353
73	0.2335485535
74	0.2330855204
75	0.2328290291
76	0.2325749779
77	0.2321317724
78	0.2317886505
79	0.2313291842
80	0.2309295858
81	0.2306413104
82	0.2302188212
83	0.2299071897
84	0.2296886749
85	0.2293747813
86	0.2290486883
87	0.2287380765
88	0.2283244667
89	0.2280750326
90	0.2278832397
91	0.2274861285
92	0.2270664622
93	0.2267679596
94	0.2264894168
95	0.226184564
96	0.2259356677
97	0.2256519623
98	0.2253349368
99	0.2253113263
100	0.2251734047
101	0.2248989182
102	0.2247307625
103	0.2244070155
104	0.2241039238
105	0.2237691867
106	0.2234567922
107	0.2233026314
108	0.2231604309
109	0.2229837227
110	0.222791907
111	0.2225264359
112	0.2223152593
113	0.2220391426
114	0.2219216614
115	0.2215993563
116	0.2213764877
117	0.2211789563
118	0.2209189631
119	0.2206270536
120	0.2206115608
121	0.2205876617
122	0.2204309476
123	0.2203253771
124	0.220141449
125	0.2199693883
126	0.2196648585
127	0.219641393
128	0.2195333417
129	0.2194629491
130	0.2191697973
131	0.2189617538
132	0.2187035128
133	0.2184607086
134	0.2182718163
135	0.2182557704
136	0.2180679309
137	0.2180388769
138	0.2180158526
139	0.2179626579
140	0.2179088771
141	0.2177723045
142	0.2177466304
143	0.2176252925
144	0.2175486844
145	0.2173870087
146	0.2173176409
147	0.2171262678
148	0.2169498304
149	0.2167982877
150	0.2166231537
151	0.21637662
152	0.2162075195
153	0.216137291
154	0.2159964587
155	0.2159348043
156	0.2158039869
157	0.2157321981
158	0.2156816177
159	0.2155686582
160	0.2155503515
161	0.2154484418
162	0.2152869733
163	0.215104318
164	0.2150350863
165	0.2150204608
166	0.2148172862
167	0.2145614522
168	0.2143755569
169	0.2143481979
170	0.2142360954
171	0.214044988
172	0.2138635902
173	0.2137491061
174	0.2136550496
175	0.2135545769
176	0.2135347786
177	0.2134974887
178	0.2133220113
179	0.2132893702
180	0.2132695605
181	0.213094134
182	0.2130763664
183	0.2130596034
184	0.2130366414
185	0.2129987475
186	0.2129769847
187	0.2128681056
188	0.2128370158
189	0.2128142014
190	0.2127859586
191	0.2127624003
192	0.2125630048
193	0.2123860944
194	0.2122404531
195	0.2120811297
196	0.2118731168
197	0.2117837499
198	0.2115844574
199	0.2114493103
200	0.2113673426
201	0.2113229446
202	0.2111934992
203	0.2111716334
204	0.2111509844
205	0.2111348979
206	0.2108607915
207	0.2107922757
208	0.2106872164
209	0.210667113
210	0.2105218925
211	0.2104369761
212	0.2103875987
213	0.2103610878
214	0.2101982803
215	0.210180926
216	0.2099393667
217	0.2098583934
218	0.2097606646
219	0.2097403526
220	0.2096941363
221	0.2094776815
222	0.209430481
223	0.2092655538
224	0.20923526
225	0.2091736488
226	0.2089879239
227	0.2089669418
228	0.2088664653
229	0.2088396695
230	0.2087691243
231	0.2087386208
232	0.2087048162
233	0.2086803729
234	0.2086510709
235	0.2086248868
236	0.2086015155
237	0.2084168104
238	0.2082098668
239	0.20818765
240	0.2081641083
241	0.208137633
242	0.2080346794
243	0.2080091133
244	0.2079837062
245	0.2078736916
246	0.2078465513
247	0.2078224284
248	0.2077947782
249	0.2076927236
250	0.2076720721
251	0.2076508573
252	0.2075400073
253	0.2074107679
254	0.2073862152
255	0.2073620237
256	0.2073384654
257	0.2072092044
258	0.2071909815
259	0.2071649335
260	0.2071434135
261	0.2071169701
262	0.207081131
263	0.2070548655
264	0.2070283101
265	0.2070026995
266	0.2069777196
267	0.2069533501
268	0.2068211479
269	0.2067955246
270	0.2067723986
271	0.2067473551
272	0.2067246793
273	0.2065310084
274	0.2065066249
275	0.2064821955
276	0.2063430201
277	0.2063193372
278	0.2062946256
279	0.2062698199
280	0.2062476387
281	0.2060260188
282	0.205910099
283	0.2057695312
284	0.2057456296
285	0.2057237422
286	0.205700545
287	0.2056763204
288	0.2055220591
289	0.2054983304
290	0.2053404388
291	0.2053181063
292	0.2050941124
293	0.2050717545
294	0.2049140205
295	0.2048897476
296	0.2048665123
297	0.2047727178
298	0.2046650416
299	0.2045437851
300	0.2045213064
301	0.2043764254
302	0.2042594172
303	0.2041369743
304	0.2040053024
305	0.2038234584
306	0.2038013191
307	0.2036390928
308	0.2033465106
309	0.2030980682
310	0.2029568189
311	0.2028365987
312	0.2026809578
313	0.2024694494
314	0.2024470011
315	0.2022772573
316	0.2022559319
317	0.20213141
318	0.2019600054
319	0.2017693965
320	0.2016485723
321	0.2015423228
322	0.2014390907
323	0.2012424253
324	0.2010631561
325	0.2010407626
326	0.2008337682
327	0.200667024
328	0.2004453672
329	0.2002288017
330	0.2000272382
331	0.1998589973
332	0.1998357455
333	0.1997209778
334	0.1996976611
335	0.1995448481
336	0.1995235036
337	0.19943706
338	0.1992893486
339	0.1991265195
340	0.1990068029
341	0.1989249738
342	0.1986991348
343	0.1984435565
344	0.1984219729
345	0.1982981071
346	0.1981549772
347	0.1980499293
348	0.1979617081
349	0.1979395688
350	0.1977121099
351	0.1975516663
352	0.197530805
353	0.1974182383
354	0.1973344663
355	0.1971794345
356	0.1971581421
357	0.197137441
358	0.1971176643
359	0.1969360886
360	0.1968309975
361	0.1966969058
362	0.1965393054
363	0.1964459839
364	0.1963215828
365	0.1963023923
366	0.1961552798
367	0.1960132764
368	0.1959032962
369	0.1958087489
370	0.1957105586
371	0.1956900317
372	0.1956697515
373	0.1954506404
374	0.1953519033
375	0.195268383
376	0.1951415876
377	0.1950420507
378	0.1950227153
379	0.194879467
380	0.194749588
381	0.1946625659
382	0.1946438001
383	0.1944867961
384	0.1943750127
385	0.1941698812
386	0.1940906169
387	0.1940709279
388	0.1939531542
389	0.193934138
